timestamp, index, utilization.gpu [%], utilization.memory [%], pstate, temperature.gpu, memory.used [MiB], memory.free [MiB]
2020/05/01 13:47:51.196, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.197, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.198, 12, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.199, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:51.200, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:51.201, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:56.202, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:56.203, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:56.204, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:56.205, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.206, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.207, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:56.208, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:56.209, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.209, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.210, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.211, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.212, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.213, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:56.214, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:56.215, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:56.215, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:01.217, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:01.218, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:48:01.219, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:01.220, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.221, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.222, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:48:01.223, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:01.224, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.225, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.226, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.226, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.227, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.228, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:01.229, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
